user_id,user_name,screen_name,followers_count,description,verified,profile_image_default,protected,favourites_count,user_registration
89622113,b'Interboric',Interdicto,5017,1,0,0,0,71407,13-11-2009
58288142,b'\xf0\x9d\x92\xb1\xf0\x9d\x92\xb6\xf0\x9d\x93\x81\xf0\x9d\x91\x92\xf0\x9d\x93\x83 \xe2\x9a\xa1',ValeCaroAgurto,1884,1,0,0,0,104604,19-07-2009
1293988402191314945,b'Oscar Moya',OscarMEmanuelli,2,1,0,0,0,42,13-08-2020
1643915401,b'Luis Hern\xc3\xa1ndez',luispmc22,1231,1,0,0,0,163610,03-08-2013
721166217353039872,b'Fe\xc3\xb1a #BoricPresidente2022 \xe2\x9c\x8a\xf0\x9f\x8c\xb3',fefaaa_happyh,859,1,0,0,0,15982,16-04-2016
162239218,b'SuperCarmen55\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3\xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',carmenros55,285,1,0,0,0,8696,03-07-2010
27191565,b'Carlos G\xc3\xb3mez \xf0\x9f\x8c\xb3 #BoricPresidente',carlitosgo_,1993,1,0,0,0,87715,28-03-2009
119910891,b'#YoVotoBoricPresidente2022',MigueelAngelml,1540,1,0,0,0,5286,04-03-2010
366923186,b'jose_Montaner',Jose_Montaner,1695,1,0,0,0,11443,03-09-2011
2480505125,b'\xe2\x93\x873BE \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8d\xb3\xf0\x9f\xa4\x98\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1',Rebe_MarSala,1072,1,0,0,0,5627,13-04-2014
2951500799,b'Francisco Burgos\xf0\x9f\x8c\xb3',72f300e28c1344f,202,0,0,0,0,2345,30-12-2014
445988940,b'Marceladiazdevaldes',Mdiazdevaldes,898,1,0,0,0,1079,25-12-2011
1436686476788518920,b'Karin... \xf0\x9f\x8c\xb7\xf0\x9f\x8c\xb7\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f(2da cta)..\xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb8',nuevamentekarin,2881,1,0,0,0,14672,11-09-2021
14643448,b'\xd0\x94\xd0\xb0\xd0\xbd\xd0\xb8\xd0\xb8\xd0\xbb / Daniel',riggerssprit,1216,1,0,0,0,16006,04-05-2008
1033778378896228352,b'Don Gabito',Don_Gabitto,6332,1,0,0,0,1447,26-08-2018
97820093,b'Pap\xc3\xa1 de #DiegoNahuel #RenatoOEluney',DiegoldelaUC,1038,1,0,0,0,9760,19-12-2009
1261738550447476739,b'Ruth Yevenes',ruth_yevenes,4,0,0,0,0,664,16-05-2020
1286056761552703488,b'Mar\xc3\xada Isabel',1mariaisabelita,4620,1,0,0,0,37335,22-07-2020
375365206,b'Cata Cort\xc3\xa9s Godoy #Boric \xf0\x9f\x8c\xb3',Catunchina,1231,1,0,0,0,5968,18-09-2011
64022240,b'Eduardo Benavides.',ebenor,660,1,0,0,0,1378,08-08-2009
351223591,b'Maucho_Mau',AlsoSprachMauro,226,1,0,0,0,23393,08-08-2011
840802033,b'flaka intensa y fumo \xf0\x9f\x98\x8f\xf0\x9f\x8c\xb3\xf0\x9f\x98\x8f',flaka_fennix,1739,1,0,0,0,69549,23-09-2012
1356940953030971392,b'Jalil Suarez',JalilSuarez,5,0,0,0,0,123,03-02-2021
1371481276780310531,"b'SATAN\xc3\x81S , Rene Cisterna , C.L.'",renecisterna1,127,1,0,0,0,5619,15-03-2021
1323858369531269121,b'Senador de la Gente',senadordelagent,200,1,0,0,0,2927,04-11-2020
1449204837229506560,b'Elena Araya',manetrento17,1125,1,0,0,0,3705,16-10-2021
1638098419,b'Andres Silva 10',AsilvaAndres,1447,1,0,0,0,9482,01-08-2013
337978360,b'Pilo. Myriam Pilowsky',Pilo55,372,1,0,0,0,9378,18-07-2011
1205163623187992577,b'Mary',Mary60517498,9,1,0,0,0,14,12-12-2019
577810554,b'melzinha',paodemellany,513,1,0,0,0,15222,12-05-2012
1409773969520144386,b'\xc2\xaa',estonuncapasoo,1,1,0,0,0,90,29-06-2021
221129005,b'Paloma\xf0\x9f\x92\x95\xf0\x9f\x8c\xb3\xf0\x9f\x8c\x88',p4loma_b,1327,1,0,0,0,9240,29-11-2010
57879156,b'\xe3\x83\x9e\xe3\x82\xa6\xe3\x83\xaa\xe3\x82\xb7\xe3\x82\xaa\xef\xbc\x88\xe3\x83\x81\xe3\x83\xaa\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1\xe3\x81\xae\xe3\x81\xb1\xe3\x82\x8b\xe3\x82\x8b\xe3\x83\x95\xe3\x82\xa1\xe3\x83\xb3\xef\xbc\x89',MauricioChen,1060,1,0,0,0,73698,18-07-2009
118729288,b'S\xc3\xb3loYi\xf0\x9f\x8c\xb3',YiyitaRi,16518,1,0,0,0,85652,01-03-2010
1651248834,b'V\xce\xb1leri\xce\xb1 \xf0\x9f\x8c\xb9',ValeRodriguez_Z,1106,0,0,0,0,4811,06-08-2013
64244419,b'Rodrigo Compa\xc3\xb1ero Villalobos',villago,3082,0,0,0,0,23425,09-08-2009
1071962506506182657,b'Boris Gabriel',bogarica,257,1,0,0,0,1586,10-12-2018
55747956,b'Peter New',pnovoaj,224,1,0,0,0,218,11-07-2009
3198083657,b'Gabriel Palma Ojeda',gabopalmaojeda,2010,1,0,0,0,398,23-04-2015
1461039749360074754,b'Cristobal Navarro C.',CrisNavarro1010,26,1,0,0,0,433,17-11-2021
426945265,b'HH \xf0\x9f\x8c\xb3',asdfghugo,983,1,0,0,0,1664,02-12-2011
125141782,b'Avgust \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1\xf0\x9f\x8c\xb3',avgstsvy,7420,1,0,0,0,9167,21-03-2010
1194020247839354880,b'Tae 118 #1 \xf0\x9f\x90\xaf\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1 #KTH1isComing',ChileanArmy_Tae,157,0,0,0,0,39427,11-11-2019
761230188046868480,b'Rub\xc3\xa9n Rodrigo Rosales Sep\xc3\xbalveda',teacher_andy,11589,1,0,0,0,18314,04-08-2016
742583979744886788,b'Ver\xc3\xb3nica Vald\xc3\xa9s A zo',ValdsAz1,249,1,0,0,0,4967,14-06-2016
1292154510933217282,b'Alejandro',_Alejandrodel,311,1,0,0,0,71129,08-08-2020
1327073086026502145,b'Jos\xc3\xa9 Luis Poblete Allende',JosLuisPoblete4,1183,1,0,0,0,1208,13-11-2020
71912417,b'A.DuranRodriguez',AlDRo_MD,255,1,0,0,0,4215,05-09-2009
1470967446513274882,b'Juan andres Campos',Juanand51487975,0,1,0,0,0,5,15-12-2021
862759786403831809,b'Geo',Gerucedos,24,1,0,0,0,368,11-05-2017
181704653,b'Diego Ledezma',dgledezma,399,1,0,0,0,9274,22-08-2010
846041733070770176,b'Evelyn Fern\xc3\xa1ndez Valenzuela. \xe2\x9c\x8c\xef\xb8\x8f \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1',evefabiola33,738,1,0,0,0,17799,26-03-2017
99340643,b'Tamara Aguilera Jopia',TamaraAguilera,1057,1,0,0,0,2251,25-12-2009
83753710,b'\xc2\xbfy ahora? #Boric2022 \xf0\x9f\x8c\xb3',daviduardo,2628,1,0,0,0,34470,20-10-2009
2384531868,b'M\xc3\xb3nica Fuentealba ',mfuentealv,356,1,0,0,0,13594,12-03-2014
1267504877980221442,b'Sebasti\xc3\xa1n Ballesteros \xf0\x9f\x8c\xb3\xf0\x9f\xaa\x93',sebastian_ibg,1404,1,0,0,0,12468,01-06-2020
150819871,b'Christi\xc3\xa1n \xf0\x9f\x8c\xb3\xf0\x9f\xaa\x9a\xf0\x9f\xaa\x93\xe2\x9c\x8c\xf0\x9f\x8f\xbb',El_Archiduque,10476,1,0,0,0,10040,01-06-2010
1125760255969890306,b'Azurdo@LeoPolite\xf0\x9f\x8e\xb8\xe2\xac\x85\xef\xb8\x8f',AzurdoLeoPolit1,803,1,0,0,0,31986,07-05-2019
808888159,b'Romina Terrazas Barraza',laplanetariaiqq,382,1,0,0,0,1190,07-09-2012
67359428,b'Emilio Val',emilioval,355,1,0,0,0,13013,20-08-2009
170087653,b'Renzo Pruzzo',RenzoPruzzo,1108,1,0,0,0,7888,23-07-2010
1460956096034746369,b'Javier',Javier_3122,41,0,0,0,0,1463,17-11-2021
2184876370,b'Teresa De La Barrera Norambuena.',akelagris,10013,1,0,0,0,243076,17-11-2013
288861455,b'Maria Sandra Pinto V',MarisandraP,291,1,0,0,0,473,27-04-2011
365821898,b'Cecilia Roa Jara \xf0\x9f\x8c\xb3',ceciliaroajara,132,1,0,0,0,2682,01-09-2011
118088782,b'Salvador Misle \xf0\x9f\x8c\xb2\xf0\x9f\x8c\xb3\xf0\x9f\x8d\x8a',Salva_Misle,1874,1,0,0,0,9370,27-02-2010
65254191,b'rriffot',rriffot,1857,1,0,0,0,5305,12-08-2009
450410543,b'Lafamiliateatro',Lafamiliateatro,4069,1,0,0,0,10698,30-12-2011
1241171204557414407,b'Magia Negra \xf0\x9f\x96\xa4\xf0\x9f\x92\x99\xf0\x9f\x96\xa4',Claudia37547778,1239,1,0,0,0,23045,21-03-2020
60959109,b'platini',platini2008,175,0,0,0,0,377,28-07-2009
31302374,b'Matias R \xf0\x9f\x8c\xb3\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1\xf0\x9f\x8c\xb2',MatiasR___,788,1,0,0,0,36553,15-04-2009
1445514118832615428,b'\xf0\x9d\x96\x8d\xf0\x9d\x96\x8a\xf0\x9d\x96\x93\xf0\x9d\x96\x93\xf0\x9d\x96\x8a\xf0\x9d\x96\x98\xf0\x9d\x96\x98\xf0\x9d\x96\x9e \xf0\x9f\xa5\xa2',Hennessy3_33,20,1,0,0,0,109,05-10-2021
313081686,b'Gabo \xf0\x9f\x8c\xb3',PorraG0,470,1,0,0,0,60584,08-06-2011
99953168,b'Soa Sandra_T\xc3\xada Miss',tia_miss,64,1,0,0,0,409,28-12-2009
929869452069490688,b'S.Labbe',slabbebri,9883,1,0,0,0,91960,13-11-2017
33103432,b'Al Final del T\xc3\xbanel \xe2\x84\xa2 \xf0\x9f\x8c\xb3',lvera50,2041,1,0,0,0,30,19-04-2009
1439728353959989249,b'Felipe Rodr\xc3\xadguez',piperodriguezru,63,1,0,0,0,556,19-09-2021
60943440,b'Diego Fern\xc3\xa1ndez C. \xc2\xae',DiegoPatricioFC,1390,1,0,0,0,23,28-07-2009
585224774,b'A L E X i S \xe2\x97\x80 \xe2\x99\x9b\xe2\x99\x9e',AxsOrtega,313,1,0,0,0,11937,20-05-2012
1435667317996802050,b'Marion Ericces',MarionEricces,363,1,0,0,0,16952,08-09-2021
260305836,b'Gustavo \xe2\x9c\x8c\xf0\x9f\x8f\xbb',guvillalobos,739,1,0,0,0,3506,03-03-2011
152493660,b'elgonzalomu\xc3\xb1oz',elgonzalomunoz,1155,1,0,0,0,52699,06-06-2010
187368439,b'HALCONAS PEREGRINAS\xf0\x9f\x92\x99',rinarinelli,62,1,0,0,0,3713,06-09-2010
1470023588438806529,b'Mauro. \xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3',mauro6720,204,1,0,0,0,215,12-12-2021
260051113,b'jorge salinas a\xc3\xb1o',inrijorge,55,0,0,0,0,908,03-03-2011
1052966416020885505,b'Manuel Aravena N.',ManuelAravenaN2,6098,1,0,0,0,553019,18-10-2018
1076350759581728768,b'Maria',Maria23236689,371,0,0,0,0,144137,22-12-2018
98526230,b'Ricardo Pinto',pintoperiodista,2857,1,0,0,0,15964,22-12-2009
413394603,b'Rode Diaz Arriagada',RoditAaaa,325,1,0,0,0,4571,15-11-2011
395870167,b'Karen Pastene\xf0\x9f\x92\x9b',KarenPastene,98,1,0,0,0,758,22-10-2011
1099260518181806081,b'Manu Sepulveda',ManuSepulveda14,46,1,0,0,0,883,23-02-2019
305131896,b'Israel Icardi\xf0\x9f\x8c\xb3',Israelldea,1422,0,0,0,0,783,25-05-2011
856824147305017345,b'Matias\xe2\x9c\xa8',mc_ih97,62,1,0,0,0,9784,25-04-2017
1148075632275939328,b'Erich Escudero Lescure',LescureErich,15,0,0,0,0,28,08-07-2019
46294862,b'La Marie que le dicen \xe2\x9a\xaa\xef\xb8\x8f\xf0\x9f\x92\x99\xe2\x9a\xaa\xef\xb8\x8f',mvilos,678,1,0,0,0,9628,11-06-2009
1292881718,b'Adolfo Wendell Wong',AwwongWong,63,1,0,0,0,11505,23-03-2013
1208560901869178880,b'Sergio Alun',SergioAlun,24,0,0,0,0,4556,22-12-2019
84083986,b'jeannette #Boric presidente',Tjeannette,714,1,0,0,0,17090,21-10-2009
1359361914929881089,b'N\xf0\x9f\xa6\x8b',Naiiortega_,84,1,0,0,0,104,10-02-2021
4907652322,b'Juan Claudio Alvarez',ciprianopato,38,1,0,0,0,18419,14-02-2016
330464719,b'Camilo Mart\xc3\xadnez R.',CamilinhoMR,256,1,0,0,0,7914,06-07-2011
37154318,b'Victor Flores',Vitoflores,1184,1,0,0,0,5219,02-05-2009
933390242,b'Hans\xf0\x9f\x8c\xb3',_Hanschulz,1280,1,0,0,0,57466,08-11-2012
875127681834250242,b'Carlos\xf0\x9f\x8c\xb3Snoopy Rossental',SnoopyRossental,1808,1,0,0,0,60201,14-06-2017
2837221103,b'Aliroxer',Maria21Morales,77,1,0,0,0,3314,19-10-2014
291865684,b'The Maximus No Prime',maxvnzla811,1679,1,0,0,0,16738,02-05-2011
119093496,b'El Cuidadano Houston',SYDNEYHOUSTON,5424,1,0,0,0,13146,02-03-2010
768788887,b'juan jos\xc3\xa9 morales',ferryota_jos,132,1,0,0,0,3328,20-08-2012
85189408,b'Cristian',VERACRISTIAN,1510,1,0,0,0,23683,25-10-2009
1437280140212506624,b'Juan Amigo Torrealba',iam_johnfriend,18,1,0,0,0,1148,13-09-2021
52417026,b'\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3 #BoricPresidente',karlavalentina,375,1,0,0,0,4613,30-06-2009
1170121658780323840,b'Mat\xc3\xadas M\xc3\xb6dinger',matiasamk,507,1,0,0,0,6103,06-09-2019
1420780130335608844,b'jcvasquez',juanvas70152048,44,1,0,0,0,990,29-07-2021
95583216,b'Felipe \xf0\x9f\x8c\xb3',pipeloncio,111,1,0,0,0,1288,09-12-2009
136281744,b'La Voz del Norte',lavozdelnortecl,3783,1,0,0,0,319,23-04-2010
26832444,b'Jaime Luis Castell\xc3\xb3',castellocl,27,1,0,0,0,759,26-03-2009
136918473,b'Annakonda con K y dos N\xf0\x9f\x90\x8d',m4rywine,293,1,0,0,0,1456,25-04-2010
1462874076083417092,b'Rodrigo \xf0\x9f\x96\x96',SeSabe_45,1670,1,0,0,0,4574,22-11-2021
3052819022,b'Marcelo Ec',Maecelo_E,358,1,0,0,0,1570,01-03-2015
40598313,b'Vivianne Sufan',Ice_Vi,45,1,0,0,0,679,17-05-2009
963495835563642880,b'Daniela Carvacho \xf0\x9f\x8c\xb3\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1 #BoricPresidente',danielacarvacho,2011,1,0,0,0,17031,13-02-2018
325251334,b'Sim\xc3\xb3n',SLatorreToro,383,1,0,0,0,20012,28-06-2011
60808824,b'Rodrigo',soyyiyo,1775,1,0,0,0,56046,28-07-2009
1000031260822130689,b'Fer \xe2\x99\xa1\xe2\x81\xb7',fer_btstwt,274,1,0,0,0,7545,25-05-2018
1309660224358359040,b'gigi \xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3\xf0\x9f\x8c\xb3#segunda vuelta por Boric\xe2\x9c\x8a\xe2\x9c\x8a',gigiapruebo,1275,1,0,0,0,15271,26-09-2020
1316759130145726465,b'\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1 \xf0\x93\x85\x93',RROOODDRRIIGGOO,870,1,0,0,0,8266,15-10-2020
123911308,b'Alejandro Riquelme',AFRRcl,266,1,0,0,0,1344,17-03-2010
935789390,b'\xc2\xa7ol \xf0\x9f\x8c\x9e\xf0\x9f\x90\xb1\xf0\x9f\x92\x97 \xe2\x98\x95\xf0\x9f\x8d\xb7',GarciaSolgarcia,1680,1,0,0,0,97886,09-11-2012
1388660914828763141,b'@PabloCano',PabloCanoCura,592,1,0,0,0,1189,02-05-2021
747447206194610177,b'Diego \xef\xa3\xbf',DiegoYgnaci0,177,1,0,0,0,8716,27-06-2016
1614425023,b'Omar \xf0\x9f\x8c\xb3',elprofebiologo,1093,1,0,0,0,67896,23-07-2013
936329210,b'andres',legolasyj28,5,0,0,0,0,55,09-11-2012
347585609,b'TiempoChillan \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1',ClimaChillan,4364,1,0,0,0,4,03-08-2011
290569991,b'Pablo Salinas C.',neuro_p_salinas,21712,1,0,0,0,21607,30-04-2011
1226715440853979136,b'Franco.Masferrer \xf0\x9f\x8c\xb3\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1',FrancoMasferre2,351,1,0,0,0,64229,10-02-2020
2951048590,b'Maril\xc3\xba',angelesluna1235,119,1,0,0,0,1098,30-12-2014
1362872594131783685,b'Soa Carito Kinderman\xf0\x9f\x8c\xb3y su bola de gatos',SoaCaroWM2021,6374,1,0,0,0,36721,19-02-2021
970873667533099013,b'francesita \xf0\x9f\x8c\xb3\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1',medicenfran__,394,1,0,0,0,26621,06-03-2018
576514411,b'Mr. OjoVerde\xf0\x9f\x92\xa2',anthonny_95,12935,1,0,0,0,48148,10-05-2012
357760172,b'Lucas \xf0\x9f\x8c\xb3\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1',lucasdkovacic,409,1,0,0,0,19115,18-08-2011
